model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops
shufflenetv2,pytorch_cuda,8,stage3.0.branch1,08. stage3.0.branch1 [conv-norm-act],conv-norm-act,1.9159819999999999,0.0,0.0,5
shufflenetv2,pytorch_cuda,9,stage3.0.branch2,09. stage3.0.branch2 [conv-norm-act],conv-norm-act,3.3302329999999998,0.0,0.0,8
shufflenetv2,pytorch_cuda,10,stage3.1.branch2,10. stage3.1.branch2 [conv-norm-act],conv-norm-act,3.056731,0.0,0.0,8
shufflenetv2,pytorch_cuda,11,stage3.2.branch2,11. stage3.2.branch2 [conv-norm-act],conv-norm-act,3.017484,0.0,0.0,8
shufflenetv2,pytorch_cuda,12,stage3.3.branch2,12. stage3.3.branch2 [conv-norm-act],conv-norm-act,3.0174760000000003,0.0,0.0,8
shufflenetv2,pytorch_cuda,13,stage3.4.branch2,13. stage3.4.branch2 [conv-norm-act],conv-norm-act,2.997166,0.0,0.0,8
shufflenetv2,pytorch_cuda,14,stage3.5.branch2,14. stage3.5.branch2 [conv-norm-act],conv-norm-act,3.022594,0.0,0.0,8
shufflenetv2,pytorch_cuda,15,stage3.6.branch2,15. stage3.6.branch2 [conv-norm-act],conv-norm-act,3.0222919999999998,0.0,0.0,8
shufflenetv2,pytorch_cuda,16,stage3.7.branch2,16. stage3.7.branch2 [conv-norm-act],conv-norm-act,3.010958,0.0,0.0,8
shufflenetv2,pytorch_cuda,17,stage4.0.branch1,17. stage4.0.branch1 [conv-norm-act],conv-norm-act,1.86357,0.0,0.0,5
shufflenetv2,pytorch_cuda,18,stage4.0.branch2,18. stage4.0.branch2 [conv-norm-act],conv-norm-act,3.3032329999999996,0.0,0.0,8
shufflenetv2,pytorch_cuda,19,stage4.1.branch2,19. stage4.1.branch2 [conv-norm-act],conv-norm-act,3.0512449999999998,0.0,0.0,8
shufflenetv2,pytorch_cuda,20,stage4.2.branch2,20. stage4.2.branch2 [conv-norm-act],conv-norm-act,3.0323130000000003,0.0,0.0,8
shufflenetv2,pytorch_cuda,21,stage4.3.branch2,21. stage4.3.branch2 [conv-norm-act],conv-norm-act,3.0017899999999997,0.0,0.0,8
shufflenetv2,pytorch_cuda,22,conv5,22. conv5 [conv-norm-act],conv-norm-act,1.9289349999999998,0.0,0.0,3
shufflenetv2,pytorch_cuda,23,fc,23. fc [fc],fc,0.673292,0.0,0.0,1
shufflenetv2,tensorrt_fp16,1,TensorRT layer 001,001. TensorRT layer 001 [TensorRTLayer],TensorRTLayer,3.5,0.0,0.0,1
shufflenetv2,tensorrt_fp16,2,TensorRT layer 002,002. TensorRT layer 002 [TensorRTLayer],TensorRTLayer,1.1,0.0,0.0,1
shufflenetv2,tensorrt_fp16,3,TensorRT layer 003,003. TensorRT layer 003 [TensorRTLayer],TensorRTLayer,0.5,0.0,0.0,1
shufflenetv2,tensorrt_fp16,4,TensorRT layer 004,004. TensorRT layer 004 [TensorRTLayer],TensorRTLayer,1.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,5,TensorRT layer 005,005. TensorRT layer 005 [TensorRTLayer],TensorRTLayer,0.4,0.0,0.0,1
shufflenetv2,tensorrt_fp16,6,TensorRT layer 006,006. TensorRT layer 006 [TensorRTLayer],TensorRTLayer,1.4,0.0,0.0,1
shufflenetv2,tensorrt_fp16,7,TensorRT layer 007,007. TensorRT layer 007 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,8,TensorRT layer 008,008. TensorRT layer 008 [TensorRTLayer],TensorRTLayer,1.5,0.0,0.0,1
shufflenetv2,tensorrt_fp16,9,TensorRT layer 009,009. TensorRT layer 009 [TensorRTLayer],TensorRTLayer,0.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,10,TensorRT layer 010,010. TensorRT layer 010 [TensorRTLayer],TensorRTLayer,0.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,11,TensorRT layer 011,011. TensorRT layer 011 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,12,TensorRT layer 012,012. TensorRT layer 012 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,13,TensorRT layer 013,013. TensorRT layer 013 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,14,TensorRT layer 014,014. TensorRT layer 014 [TensorRTLayer],TensorRTLayer,1.5,0.0,0.0,1
shufflenetv2,tensorrt_fp16,15,TensorRT layer 015,015. TensorRT layer 015 [TensorRTLayer],TensorRTLayer,0.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,16,TensorRT layer 016,016. TensorRT layer 016 [TensorRTLayer],TensorRTLayer,0.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,17,TensorRT layer 017,017. TensorRT layer 017 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,18,TensorRT layer 018,018. TensorRT layer 018 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,19,TensorRT layer 019,019. TensorRT layer 019 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,20,TensorRT layer 020,020. TensorRT layer 020 [TensorRTLayer],TensorRTLayer,1.5,0.0,0.0,1
shufflenetv2,tensorrt_fp16,21,TensorRT layer 021,021. TensorRT layer 021 [TensorRTLayer],TensorRTLayer,0.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,22,TensorRT layer 022,022. TensorRT layer 022 [TensorRTLayer],TensorRTLayer,0.2,0.0,0.0,1
shufflenetv2,tensorrt_fp16,23,TensorRT layer 023,023. TensorRT layer 023 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,24,TensorRT layer 024,024. TensorRT layer 024 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,25,TensorRT layer 025,025. TensorRT layer 025 [TensorRTLayer],TensorRTLayer,0.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,26,TensorRT layer 026,026. TensorRT layer 026 [TensorRTLayer],TensorRTLayer,1.6,0.0,0.0,1
shufflenetv2,tensorrt_fp16,27,TensorRT layer 027,027. TensorRT layer 027 [TensorRTLayer],TensorRTLayer,0.7,0.0,0.0,1
shufflenetv2,tensorrt_fp16,28,TensorRT layer 028,028. TensorRT layer 028 [TensorRTLayer],TensorRTLayer,1.7,0.0,0.0,1
