model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops,input_shape,output_shape,param_count
mobilenetv3s,onnxrt_cpu,57,features/features.8/block/block.2/fc2,"57. features.8/block/block.2/fc2 [conv]
params 0",conv,0.091,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,58,features/features.8/block/block.2,"58. features.8/block/block.2 [eltwise]
params 0",eltwise,0.0986,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,59,features/features.8/block/block.3/block.3.0,"59. features.8/block/block.3/block.3.0 [conv]
params 0",conv,0.438,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,60,features/features.9/block/block.0/block.0.0,"60. features.9/block/block.0/block.0.0 [conv]
params 0",conv,0.7242,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,61,features/features.9/block/block.0/block.0.2,"61. features.9/block/block.0/block.0.2 [act-eltwise]
params 0",act-eltwise,0.32789999999999997,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,62,features/features.9/block/block.1/block.1.0,"62. features.9/block/block.1/block.1.0 [conv]
params 0",conv,2.6002,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,63,features/features.9/block/block.1/block.1.2,"63. features.9/block/block.1/block.1.2 [act-eltwise]
params 0",act-eltwise,0.152,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,64,features/features.9/block/block.2/avgpool,"64. features.9/block/block.2/avgpool [pool]
params 0",pool,0.0748,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,65,features/features.9/block/block.2/fc1,"65. features.9/block/block.2/fc1 [conv]
params 0",conv,0.1855,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,66,features/features.9/block/block.2/fc2,"66. features.9/block/block.2/fc2 [conv]
params 0",conv,0.20220000000000002,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,67,features/features.9/block/block.2,"67. features.9/block/block.2 [eltwise]
params 0",eltwise,0.1038,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,68,features/features.9/block/block.3/block.3.0,"68. features.9/block/block.3/block.3.0 [conv]
params 0",conv,0.4955,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,69,features/features.10/block/block.0/block.0.0,"69. features.10/block/block.0/block.0.0 [conv]
params 0",conv,0.7275,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,70,features/features.10/block/block.0/block.0.2,"70. features.10/block/block.0/block.0.2 [act-eltwise]
params 0",act-eltwise,0.2081,0.0,0.0,3,,,0.0
