layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
100,features.4.2.block.1.2,SiLU,SiLU(inplace=True),1x480x14x14,1x480x14x14,0,0,,,,,,,,False,100,0.236805,0.024892,0.210786,0.331153,0.223313,0.279153,0,0,1777375489.6983397
101,features.4.2.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x480x14x14,1x480x1x1,0,0,,,,,,,,False,100,0.296338,0.028255,0.266413,0.386623,0.282689,0.34674,0,0,1777375489.6988428
102,features.4.2.block.2.fc1,Conv2d,"Conv2d(480, 20, kernel_size=(1, 1), stride=(1, 1))",1x480x1x1,1x20x1x1,9620,9620,480,20,1x1,1x1,0x0,1x1,1,True,100,0.674923,0.065304,0.604284,0.806945,0.650354,0.793335,0,0,1777375489.6997182
103,features.4.2.block.2.activation,SiLU,SiLU(inplace=True),1x20x1x1,1x20x1x1,0,0,,,,,,,,False,100,0.234571,0.025548,0.209327,0.321466,0.219667,0.277118,0,0,1777375489.7002022
104,features.4.2.block.2.fc2,Conv2d,"Conv2d(20, 480, kernel_size=(1, 1), stride=(1, 1))",1x20x1x1,1x480x1x1,10080,10080,20,480,1x1,1x1,0x0,1x1,1,True,100,0.647595,0.066255,0.569335,0.807987,0.623243,0.764709,0,0,1777375489.70105
105,features.4.2.block.2.scale_activation,Sigmoid,Sigmoid(),1x480x1x1,1x480x1x1,0,0,,,,,,,,False,100,0.247569,0.028065,0.220682,0.346414,0.232141,0.292103,0,0,1777375489.701466
106,features.4.2.block.3.0,Conv2d,"Conv2d(480, 80, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x480x14x14,1x80x14x14,38400,38400,480,80,1x1,1x1,0x0,1x1,1,False,100,0.731891,0.048018,0.687568,1.088462,0.718167,0.777444,0,0,1777375489.7025814
107,features.4.2.block.3.1,BatchNorm2d,"BatchNorm2d(80, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x80x14x14,1x80x14x14,160,160,,,,,,,,True,100,0.420041,0.143541,0.369435,1.806238,0.394332,0.47754,0,0,1777375489.703132
108,features.4.2.stochastic_depth,StochasticDepth,"StochasticDepth(p=0.08750000000000001, mode=row)",1x80x14x14,1x80x14x14,0,0,,,,,,,,False,100,0.134055,0.012875,0.125628,0.234329,0.131669,0.139613,0,0,1777375489.7034154
109,features.5.0.block.0.0,Conv2d,"Conv2d(80, 480, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x80x14x14,1x480x14x14,38400,38400,80,480,1x1,1x1,0x0,1x1,1,False,100,0.740278,0.037829,0.692932,0.905593,0.723713,0.796835,0,0,1777375489.7046418
110,features.5.0.block.0.1,BatchNorm2d,"BatchNorm2d(480, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x480x14x14,1x480x14x14,960,960,,,,,,,,True,100,0.412151,0.134571,0.363081,1.710766,0.385686,0.473344,0,0,1777375489.7051914
111,features.5.0.block.0.2,SiLU,SiLU(inplace=True),1x480x14x14,1x480x14x14,0,0,,,,,,,,False,100,0.241345,0.022901,0.216672,0.326101,0.229692,0.279912,0,0,1777375489.705585
112,features.5.0.block.1.0,Conv2d,"Conv2d(480, 480, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2), groups=480, bias=False)",1x480x14x14,1x480x14x14,12000,12000,480,480,5x5,1x1,2x2,1x1,480,False,100,1.047069,0.019657,1.027992,1.139713,1.043122,1.094056,0,0,1777375489.7067626
113,features.5.0.block.1.1,BatchNorm2d,"BatchNorm2d(480, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x480x14x14,1x480x14x14,960,960,,,,,,,,True,100,0.389429,0.033731,0.352977,0.500584,0.380242,0.462935,0,0,1777375489.7072868
114,features.5.0.block.1.2,SiLU,SiLU(inplace=True),1x480x14x14,1x480x14x14,0,0,,,,,,,,False,100,0.23965,0.034309,0.209692,0.447406,0.22287,0.302935,0,0,1777375489.7076724
115,features.5.0.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x480x14x14,1x480x1x1,0,0,,,,,,,,False,100,0.299332,0.045524,0.265579,0.649598,0.282792,0.348883,0,0,1777375489.708216
116,features.5.0.block.2.fc1,Conv2d,"Conv2d(480, 20, kernel_size=(1, 1), stride=(1, 1))",1x480x1x1,1x20x1x1,9620,9620,480,20,1x1,1x1,0x0,1x1,1,True,100,0.683982,0.073525,0.59918,0.906531,0.654052,0.811541,0,0,1777375489.7090871
117,features.5.0.block.2.activation,SiLU,SiLU(inplace=True),1x20x1x1,1x20x1x1,0,0,,,,,,,,False,100,0.238079,0.031895,0.208755,0.41553,0.221437,0.279422,0,0,1777375489.7094882
118,features.5.0.block.2.fc2,Conv2d,"Conv2d(20, 480, kernel_size=(1, 1), stride=(1, 1))",1x20x1x1,1x480x1x1,10080,10080,20,480,1x1,1x1,0x0,1x1,1,True,100,0.644051,0.069568,0.568554,0.833769,0.6103,0.768293,0,0,1777375489.7103143
119,features.5.0.block.2.scale_activation,Sigmoid,Sigmoid(),1x480x1x1,1x480x1x1,0,0,,,,,,,,False,100,0.248473,0.026896,0.22188,0.330893,0.231853,0.299986,0,0,1777375489.7107244
120,features.5.0.block.3.0,Conv2d,"Conv2d(480, 112, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x480x14x14,1x112x14x14,53760,53760,480,112,1x1,1x1,0x0,1x1,1,False,100,0.808536,0.034574,0.761215,0.904707,0.796658,0.871037,0,0,1777375489.7118938
121,features.5.0.block.3.1,BatchNorm2d,"BatchNorm2d(112, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x112x14x14,1x112x14x14,224,224,,,,,,,,True,100,0.405836,0.039148,0.368342,0.658713,0.393342,0.455114,0,0,1777375489.7124405
122,features.5.1.block.0.0,Conv2d,"Conv2d(112, 672, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x112x14x14,1x672x14x14,75264,75264,112,672,1x1,1x1,0x0,1x1,1,False,100,0.945025,0.059776,0.894864,1.400447,0.925359,1.028009,0,0,1777375489.713602
123,features.5.1.block.0.1,BatchNorm2d,"BatchNorm2d(672, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x672x14x14,1x672x14x14,1344,1344,,,,,,,,True,100,0.395256,0.042388,0.35355,0.615274,0.378499,0.478047,0,0,1777375489.7141285
124,features.5.1.block.0.2,SiLU,SiLU(inplace=True),1x672x14x14,1x672x14x14,0,0,,,,,,,,False,100,0.249844,0.064387,0.218755,0.846842,0.230839,0.287712,0,0,1777375489.7145197
125,features.5.1.block.1.0,Conv2d,"Conv2d(672, 672, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2), groups=672, bias=False)",1x672x14x14,1x672x14x14,16800,16800,672,672,5x5,1x1,2x2,1x1,672,False,100,1.365277,0.019097,1.34253,1.469772,1.361879,1.390677,0,0,1777375489.7160153
126,features.5.1.block.1.1,BatchNorm2d,"BatchNorm2d(672, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x672x14x14,1x672x14x14,1344,1344,,,,,,,,True,100,0.387224,0.030355,0.350893,0.469385,0.376154,0.449846,0,0,1777375489.716533
127,features.5.1.block.1.2,SiLU,SiLU(inplace=True),1x672x14x14,1x672x14x14,0,0,,,,,,,,False,100,0.235284,0.02614,0.210682,0.335685,0.220734,0.280797,0,0,1777375489.7169116
128,features.5.1.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x672x14x14,1x672x1x1,0,0,,,,,,,,False,100,0.296304,0.028163,0.263652,0.415426,0.284669,0.341054,0,0,1777375489.7173786
129,features.5.1.block.2.fc1,Conv2d,"Conv2d(672, 28, kernel_size=(1, 1), stride=(1, 1))",1x672x1x1,1x28x1x1,18844,18844,672,28,1x1,1x1,0x0,1x1,1,True,100,0.679979,0.06806,0.597201,0.841633,0.649832,0.798509,0,0,1777375489.7182288
130,features.5.1.block.2.activation,SiLU,SiLU(inplace=True),1x28x1x1,1x28x1x1,0,0,,,,,,,,False,100,0.236429,0.029515,0.210369,0.332038,0.219718,0.292608,0,0,1777375489.718628
131,features.5.1.block.2.fc2,Conv2d,"Conv2d(28, 672, kernel_size=(1, 1), stride=(1, 1))",1x28x1x1,1x672x1x1,19488,19488,28,672,1x1,1x1,0x0,1x1,1,True,100,0.637918,0.065447,0.564596,0.789497,0.604362,0.748818,0,0,1777375489.7194428
132,features.5.1.block.2.scale_activation,Sigmoid,Sigmoid(),1x672x1x1,1x672x1x1,0,0,,,,,,,,False,100,0.250257,0.031148,0.219744,0.365269,0.231802,0.314835,0,0,1777375489.7199125
133,features.5.1.block.3.0,Conv2d,"Conv2d(672, 112, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x672x14x14,1x112x14x14,75264,75264,672,112,1x1,1x1,0x0,1x1,1,False,100,0.955644,0.037974,0.907832,1.073826,0.939239,1.022715,0,0,1777375489.7212675
134,features.5.1.block.3.1,BatchNorm2d,"BatchNorm2d(112, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x112x14x14,1x112x14x14,224,224,,,,,,,,True,100,0.406284,0.037151,0.367664,0.65939,0.395504,0.449229,0,0,1777375489.721829
135,features.5.1.stochastic_depth,StochasticDepth,"StochasticDepth(p=0.1125, mode=row)",1x112x14x14,1x112x14x14,0,0,,,,,,,,False,100,0.138599,0.016876,0.127451,0.241932,0.135185,0.145709,0,0,1777375489.722119
136,features.5.2.block.0.0,Conv2d,"Conv2d(112, 672, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x112x14x14,1x672x14x14,75264,75264,112,672,1x1,1x1,0x0,1x1,1,False,100,0.981128,0.242079,0.905332,3.35622,0.943928,1.03776,0,0,1777375489.7234464
137,features.5.2.block.0.1,BatchNorm2d,"BatchNorm2d(672, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x672x14x14,1x672x14x14,1344,1344,,,,,,,,True,100,0.414522,0.169105,0.362612,2.061869,0.383419,0.476383,0,0,1777375489.724054
138,features.5.2.block.0.2,SiLU,SiLU(inplace=True),1x672x14x14,1x672x14x14,0,0,,,,,,,,False,100,0.258705,0.087685,0.217922,0.990855,0.233651,0.328633,0,0,1777375489.724451
139,features.5.2.block.1.0,Conv2d,"Conv2d(672, 672, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2), groups=672, bias=False)",1x672x14x14,1x672x14x14,16800,16800,672,672,5x5,1x1,2x2,1x1,672,False,100,1.368772,0.020193,1.345811,1.432271,1.362165,1.416779,0,0,1777375489.7259452
140,features.5.2.block.1.1,BatchNorm2d,"BatchNorm2d(672, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x672x14x14,1x672x14x14,1344,1344,,,,,,,,True,100,0.390835,0.04796,0.353133,0.711995,0.373966,0.465927,0,0,1777375489.7264752
141,features.5.2.block.1.2,SiLU,SiLU(inplace=True),1x672x14x14,1x672x14x14,0,0,,,,,,,,False,100,0.23892,0.027025,0.210369,0.350425,0.22412,0.282831,0,0,1777375489.7268615
142,features.5.2.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x672x14x14,1x672x1x1,0,0,,,,,,,,False,100,0.297565,0.02836,0.26412,0.388133,0.286387,0.349846,0,0,1777375489.7273312
143,features.5.2.block.2.fc1,Conv2d,"Conv2d(672, 28, kernel_size=(1, 1), stride=(1, 1))",1x672x1x1,1x28x1x1,18844,18844,672,28,1x1,1x1,0x0,1x1,1,True,100,0.686358,0.074032,0.593243,0.940542,0.670744,0.803361,0,0,1777375489.72825
144,features.5.2.block.2.activation,SiLU,SiLU(inplace=True),1x28x1x1,1x28x1x1,0,0,,,,,,,,False,100,0.241004,0.031239,0.211931,0.377664,0.223755,0.2853,0,0,1777375489.7286553
145,features.5.2.block.2.fc2,Conv2d,"Conv2d(28, 672, kernel_size=(1, 1), stride=(1, 1))",1x28x1x1,1x672x1x1,19488,19488,28,672,1x1,1x1,0x0,1x1,1,True,100,0.649495,0.065789,0.569335,0.795903,0.617618,0.766546,0,0,1777375489.7294853
146,features.5.2.block.2.scale_activation,Sigmoid,Sigmoid(),1x672x1x1,1x672x1x1,0,0,,,,,,,,False,100,0.24892,0.027378,0.221411,0.372561,0.234407,0.282839,0,0,1777375489.7298965
147,features.5.2.block.3.0,Conv2d,"Conv2d(672, 112, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x672x14x14,1x112x14x14,75264,75264,672,112,1x1,1x1,0x0,1x1,1,False,100,0.963618,0.051649,0.910749,1.22159,0.947468,1.044098,0,0,1777375489.7312047
