RAM 1692/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [50%@921,52%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 2409/2199 POM_5V_GPU 81/98 POM_5V_CPU 816/533
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,11%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 1731/2187 POM_5V_GPU 82/98 POM_5V_CPU 164/523
RAM 1691/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [8%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 1848/2179 POM_5V_GPU 82/97 POM_5V_CPU 246/516
RAM 1692/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [3%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33C POM_5V_IN 1769/2169 POM_5V_GPU 82/97 POM_5V_CPU 205/509
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@32.75C POM_5V_IN 2290/2172 POM_5V_GPU 81/97 POM_5V_CPU 572/510
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [10%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 2252/2174 POM_5V_GPU 81/96 POM_5V_CPU 573/512
RAM 1691/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@34C PMIC@50C GPU@32C AO@43.5C thermal@33C POM_5V_IN 2211/2174 POM_5V_GPU 81/96 POM_5V_CPU 532/512
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@32.75C POM_5V_IN 2290/2177 POM_5V_GPU 81/96 POM_5V_CPU 572/513
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,8%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 2211/2178 POM_5V_GPU 81/95 POM_5V_CPU 573/515
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [11%@921,2%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 2215/2178 POM_5V_GPU 81/95 POM_5V_CPU 573/516
RAM 1694/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,9%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 2252/2180 POM_5V_GPU 81/95 POM_5V_CPU 573/517
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@35C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1810/2172 POM_5V_GPU 82/94 POM_5V_CPU 246/512
RAM 1691/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,11%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 2010/2169 POM_5V_GPU 82/94 POM_5V_CPU 369/509
